college,lat,long
http://dbpedia.org/resource/Museum_of_the_Occupation_of_Latvia,56.9471,24.1064
http://dbpedia.org/resource/Music_Academy_of_the_West,34.4192,-119.649
http://dbpedia.org/resource/Music_Works_Northwest,47.5806,-122.149
http://dbpedia.org/resource/Music_and_Audio_Institute_of_New_Zealand,-36.848,174.759
http://dbpedia.org/resource/Musical_Theatre_Academy,51.5478,-0.106389
http://dbpedia.org/resource/Musicians_Institute,34.1008,-118.337
http://dbpedia.org/resource/Musikhochschule_Münster,51.9561,7.62694
http://dbpedia.org/resource/Muskegon_Community_College,43.2492,-86.1957
http://dbpedia.org/resource/Muskingum_University,39.998,-81.738
http://dbpedia.org/resource/Muslim_University_of_Morogoro,-6.80111,37.6589
http://dbpedia.org/resource/Musée_social,48.8581,2.32187
http://dbpedia.org/resource/Muteesa_I_Royal_University,-0.3225,31.7425
http://dbpedia.org/resource/Muthesius_Academy_of_Art,54.3278,10.1291
http://dbpedia.org/resource/Muthurangam_Govt._Arts_College,12.8853,79.1379
http://dbpedia.org/resource/Muzaffar_Ahmed_Mahavidyalaya,23.7714,88.112
http://dbpedia.org/resource/Muzaffarnagar_Medical_College,29.3724,77.7067
http://dbpedia.org/resource/Mwalimu_Nyerere_University,-1.79833,33.9736
http://dbpedia.org/resource/Mwenge_Catholic_University,-3.30194,37.3233
http://dbpedia.org/resource/Walter_Reed_Tropical_Medicine_Course,39.0051,-77.0537
http://dbpedia.org/resource/Walter_Sisulu_University,-31.6033,28.7506
http://dbpedia.org/resource/Walters_State_Community_College,36.214,-83.263
http://dbpedia.org/resource/Walther_Theological_Seminary,39.8642,-88.9735
http://dbpedia.org/resource/Wanganui_Park_Secondary_College,-36.3577,145.391
http://dbpedia.org/resource/Wangaratta_High_School,-36.3626,146.315
"http://dbpedia.org/resource/Wangcha_Rajkumar_Government_College,_Deomali",27.193,95.463
http://dbpedia.org/resource/Wangkhao_Government_College,26.712,95.01
http://dbpedia.org/resource/Warburg_Institute,51.5233,-0.13013
http://dbpedia.org/resource/Warmadewa_University,-8.65931,115.243
http://dbpedia.org/resource/Warner_Pacific_University,45.506,-122.593
http://dbpedia.org/resource/Warner_University,27.8263,-81.6022
http://dbpedia.org/resource/Warren_Wilson_College,35.611,-82.4419
http://dbpedia.org/resource/Warsaw_University_of_Life_Sciences,52.1617,21.0481
http://dbpedia.org/resource/Warsaw_University_of_Technology,52.2203,21.0106
http://dbpedia.org/resource/Wartburg_College,42.7291,-92.482
http://dbpedia.org/resource/Wartburg_Theological_Seminary,42.4854,-90.6907
http://dbpedia.org/resource/Warwick_Business_School,52.3821,-1.5655
http://dbpedia.org/resource/Warwick_Manufacturing_Group,52.3833,-1.561
http://dbpedia.org/resource/Warwick_Medical_School,52.3744,-1.5527
http://dbpedia.org/resource/Waseda_University,35.7092,139.719
http://dbpedia.org/resource/Washburn_Institute_of_Technology,39.0444,-95.7513
http://dbpedia.org/resource/Washburn_University,39.0338,-95.699
http://dbpedia.org/resource/Washburn_University_School_of_Law,39.0356,-95.7053
http://dbpedia.org/resource/Washington_&_Jefferson_College,40.1714,-80.2393
http://dbpedia.org/resource/Washington_Adventist_University,38.9861,-77
http://dbpedia.org/resource/Washington_College,39.2181,-76.0694
http://dbpedia.org/resource/Washington_College_Academy,36.2203,-82.5709
http://dbpedia.org/resource/Washington_College_of_Law,38.945,-77.08
